estimator,snr0,contrast,delta_L_stable_anchor,L_stable_anchor_reference,L_stable_anchor_arm,delta_L_stable_anchor_structure,L_stable_anchor_structure_reference,L_stable_anchor_structure_arm,bootstrap_unit,bootstrap_n,note,freeze_sha256
LINEAR_STATE_SPACE,30.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,30.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,300.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,300.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,300.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,3000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,10000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,30000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,30000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,30000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,100000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,92.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,92.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
LINEAR_STATE_SPACE,1000000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-92.0,92.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1.0,TOTAL_FLUX - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,28.0,44.0,72.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,4.0,44.0,48.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3.0,TOTAL_FLUX - DIRECT_PHYSICAL,-44.0,44.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,52.0,84.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,8.0,52.0,60.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10.0,TOTAL_FLUX - DIRECT_PHYSICAL,-52.0,52.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,36.0,56.0,92.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,16.0,56.0,72.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30.0,TOTAL_FLUX - DIRECT_PHYSICAL,-56.0,56.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,36.0,64.0,100.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,20.0,64.0,84.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100.0,TOTAL_FLUX - DIRECT_PHYSICAL,-64.0,64.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,300.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,52.0,68.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,300.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,20.0,68.0,88.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,300.0,TOTAL_FLUX - DIRECT_PHYSICAL,-68.0,68.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,44.0,76.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,20.0,76.0,96.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-76.0,76.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,36.0,80.0,116.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,3000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-80.0,80.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,10000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-80.0,80.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,30000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-80.0,80.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,100000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-80.0,80.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000000.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000000.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,40.0,80.0,120.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
RIDGE_IDENTITY,1000000.0,TOTAL_FLUX - DIRECT_PHYSICAL,-80.0,80.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,1.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,1.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,1.0,TOTAL_FLUX - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,3.0,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,88.0,0.0,88.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,3.0,UNRESOLVED_IMAGE - DIRECT_PHYSICAL,28.0,0.0,28.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
TIKHONOV_TEMPORAL,3.0,TOTAL_FLUX - DIRECT_PHYSICAL,0.0,0.0,0.0,0.0,0.0,0.0,truth,2000,"L_stable_anchor is a population quantile over truths, so a per-truth bootstrap interval is reported on the age-error surface rather than on this scalar",e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381
